yearmonth,msl_mm
9/1/1969,7192
10/1/1969,7213
11/1/1969,7079
12/1/1969,6966
1/1/1970,6905
2/1/1970,6856
3/1/1970,6939
4/1/1970,7003
5/1/1970,7012
6/1/1970,7070
7/1/1970,6981
8/1/1970,7003
9/1/1970,7119
10/1/1970,7286
11/1/1970,7097
12/1/1970,7082
1/1/1971,6936
2/1/1971,6872
3/1/1971,6902
4/1/1971,6945
5/1/1971,6991
6/1/1971,7018
7/1/1971,6963
8/1/1971,7073
9/1/1971,7189
10/1/1971,7268
11/1/1971,7201
12/1/1971,7085
1/1/1972,7012
2/1/1972,6972
3/1/1972,6994
4/1/1972,7030
5/1/1972,7177
6/1/1972,7116
7/1/1972,6960
8/1/1972,7091
9/1/1972,7146
10/1/1972,7204
11/1/1972,7213
12/1/1972,7052
1/1/1973,7106
2/1/1973,7116
3/1/1973,7128
4/1/1973,7052
5/1/1973,7067
6/1/1973,7027
7/1/1973,7061
8/1/1973,7088
9/1/1973,7216
10/1/1973,7280
11/1/1973,7103
12/1/1973,6966
1/1/1974,6966
2/1/1974,7042
3/1/1974,6957
4/1/1974,6981
5/1/1974,7103
6/1/1974,7128
7/1/1974,7082
8/1/1974,7122
9/1/1974,7189
10/1/1974,7192
11/1/1974,7070
12/1/1974,6984
1/1/1975,6920
2/1/1975,7076
3/1/1975,6994
4/1/1975,7039
5/1/1975,7158
6/1/1975,7173
7/1/1975,7082
8/1/1975,7064
9/1/1975,7180
10/1/1975,7213
11/1/1975,7091
12/1/1975,7058
1/1/1976,6869
2/1/1976,6805
3/1/1976,6948
4/1/1976,7003
5/1/1976,7064
6/1/1976,7128
7/1/1976,7018
8/1/1976,7085
9/1/1976,7109
10/1/1976,7100
11/1/1976,7000
12/1/1976,6984
1/1/1977,6847
2/1/1977,6835
3/1/1977,7000
4/1/1977,6942
5/1/1977,7082
6/1/1977,7103
7/1/1977,6984
8/1/1977,7064
9/1/1977,7119
10/1/1977,7073
11/1/1977,7161
12/1/1977,7018
1/1/1978,6847
2/1/1978,7021
3/1/1978,6994
4/1/1978,7015
5/1/1978,7018
6/1/1978,7033
7/1/1978,7018
8/1/1978,7027
9/1/1978,7198
10/1/1978,7183
11/1/1978,7183
12/1/1978,6957
1/1/1979,6832
2/1/1979,6924
3/1/1979,6939
4/1/1979,6997
5/1/1979,7003
6/1/1979,7097
7/1/1979,7070
8/1/1979,7036
9/1/1979,7183
10/1/1979,7109
11/1/1979,7042
12/1/1979,7024
1/1/1980,7085
2/1/1980,7036
3/1/1980,6978
4/1/1980,7021
5/1/1980,7094
6/1/1980,7076
7/1/1980,6994
8/1/1980,6963
9/1/1980,7088
10/1/1980,7082
11/1/1980,7033
12/1/1980,7000
1/1/1981,6917
2/1/1981,6905
3/1/1981,6942
4/1/1981,6939
5/1/1981,7058
6/1/1981,6933
7/1/1981,7039
8/1/1981,7082
9/1/1981,7119
10/1/1981,7076
11/1/1981,7140
12/1/1981,6948
1/1/1982,6856
2/1/1982,6933
3/1/1982,7027
4/1/1982,6957
5/1/1982,7006
6/1/1982,7103
7/1/1982,7006
8/1/1982,7036
9/1/1982,7125
10/1/1982,7204
11/1/1982,7180
12/1/1982,7109
1/1/1983,7155
2/1/1983,7125
3/1/1983,7128
4/1/1983,7058
5/1/1983,7018
6/1/1983,7125
7/1/1983,7097
8/1/1983,7058
9/1/1983,7198
10/1/1983,7256
11/1/1983,7122
12/1/1983,6994
1/1/1984,7067
2/1/1984,6930
3/1/1984,7039
4/1/1984,7097
5/1/1984,7012
6/1/1984,7076
7/1/1984,6963
8/1/1984,7039
9/1/1984,7189
10/1/1984,7268
11/1/1984,7216
12/1/1984,7088
1/1/1985,6988
2/1/1985,6951
3/1/1985,6991
4/1/1985,6957
5/1/1985,7113
6/1/1985,7036
7/1/1985,7088
8/1/1985,7195
9/1/1985,7234
10/1/1985,7332
11/1/1985,7137
12/1/1985,6933
1/1/1986,6942
2/1/1986,7021
3/1/1986,6939
4/1/1986,7106
5/1/1986,7146
6/1/1986,7167
7/1/1986,7048
8/1/1986,7058
9/1/1986,7167
10/1/1986,7158
11/1/1986,7183
12/1/1986,7158
1/1/1987,7058
2/1/1987,7094
3/1/1987,7146
4/1/1987,7021
5/1/1987,7070
6/1/1987,6991
7/1/1987,7058
8/1/1987,7061
9/1/1987,7143
10/1/1987,7167
11/1/1987,7116
12/1/1987,6948
1/1/1988,6975
2/1/1988,6966
3/1/1988,6930
4/1/1988,7052
5/1/1988,7021
6/1/1988,7079
7/1/1988,6972
8/1/1988,7033
9/1/1988,7173
10/1/1988,7213
11/1/1988,7055
12/1/1988,6988
1/1/1989,6986
2/1/1989,6956
3/1/1989,7076
4/1/1989,7006
5/1/1989,7036
6/1/1989,6966
7/1/1989,7006
8/1/1989,7086
9/1/1989,7226
10/1/1989,7176
11/1/1989,7006
12/1/1989,6946
1/1/1990,6846
2/1/1990,6916
3/1/1990,7056
4/1/1990,6996
5/1/1990,7036
6/1/1990,7096
7/1/1990,7066
8/1/1990,7116
9/1/1990,7216
10/1/1990,7206
11/1/1990,7146
12/1/1990,7046
1/1/1991,7116
2/1/1991,6957
3/1/1991,7061
4/1/1991,7052
5/1/1991,7152
6/1/1991,7201
7/1/1991,7128
8/1/1991,7152
9/1/1991,7283
10/1/1991,7289
11/1/1991,7173
12/1/1991,6954
1/1/1992,7024
2/1/1992,7064
3/1/1992,6954
4/1/1992,7073
5/1/1992,7180
6/1/1992,7241
7/1/1992,7045
8/1/1992,7100
9/1/1992,7231
10/1/1992,7277
11/1/1992,7189
12/1/1992,7015
1/1/1993,7152
2/1/1993,7143
3/1/1993,6981
4/1/1993,7064
5/1/1993,7079
6/1/1993,7091
7/1/1993,7052
8/1/1993,7122
9/1/1993,7161
10/1/1993,7262
11/1/1993,7158
12/1/1993,7061
1/1/1994,6936
2/1/1994,7042
3/1/1994,7018
4/1/1994,6975
5/1/1994,7155
6/1/1994,7042
7/1/1994,6984
8/1/1994,7091
9/1/1994,7213
10/1/1994,7314
11/1/1994,7131
12/1/1994,7280
1/1/1995,7042
2/1/1995,6927
3/1/1995,7128
4/1/1995,7134
5/1/1995,7183
6/1/1995,7170
7/1/1995,7137
8/1/1995,7365
9/1/1995,7390
10/1/1995,7317
11/1/1995,7134
12/1/1995,7116
1/1/1996,7004
2/1/1996,6934
3/1/1996,6935
4/1/1996,6959
5/1/1996,7054
6/1/1996,7067
7/1/1996,6988
8/1/1996,7114
9/1/1996,7198
10/1/1996,7285
11/1/1996,7181
12/1/1996,7084
1/1/1997,7004
2/1/1997,7060
3/1/1997,7066
4/1/1997,7163
5/1/1997,7083
6/1/1997,7202
7/1/1997,7140
8/1/1997,7198
9/1/1997,7262
10/1/1997,7217
11/1/1997,7075
12/1/1997,7039
1/1/1998,7044
2/1/1998,7220
3/1/1998,7052
4/1/1998,7079
5/1/1998,7176
6/1/1998,7044
7/1/1998,7025
8/1/1998,7097
9/1/1998,7151
10/1/1998,7155
11/1/1998,7068
12/1/1998,7066
1/1/1999,7041
2/1/1999,7175
3/1/1999,7072
4/1/1999,7101
5/1/1999,7189
6/1/1999,7157
7/1/1999,7092
8/1/1999,7221
9/1/1999,7353
10/1/1999,7332
11/1/1999,7164
12/1/1999,7111
1/1/2000,7039
2/1/2000,6980
3/1/2000,7086
4/1/2000,7065
5/1/2000,7111
6/1/2000,7083
7/1/2000,7179
8/1/2000,7221
9/1/2000,7310
10/1/2000,7307
11/1/2000,7210
12/1/2000,7043
1/1/2001,6947
2/1/2001,6952
3/1/2001,7076
4/1/2001,6990
5/1/2001,7146
6/1/2001,7059
7/1/2001,7131
8/1/2001,7094
9/1/2001,7274
10/1/2001,7259
11/1/2001,7188
12/1/2001,7102
1/1/2002,6899
2/1/2002,7015
3/1/2002,7028
4/1/2002,7105
5/1/2002,7126
6/1/2002,7181
7/1/2002,7079
8/1/2002,7236
9/1/2002,7293
10/1/2002,7325
11/1/2002,7104
12/1/2002,7026
1/1/2003,6928
2/1/2003,6947
3/1/2003,7157
4/1/2003,7180
5/1/2003,7129
6/1/2003,7075
7/1/2003,6944
8/1/2003,7011
9/1/2003,7299
10/1/2003,7269
11/1/2003,7188
12/1/2003,7054
1/1/2004,6997
2/1/2004,7058
3/1/2004,7009
4/1/2004,6971
5/1/2004,7005
6/1/2004,7064
7/1/2004,7088
8/1/2004,7106
9/1/2004,7241
10/1/2004,7295
11/1/2004,7151
12/1/2004,6994
1/1/2005,7111
2/1/2005,7144
3/1/2005,7021
4/1/2005,7105
5/1/2005,7181
6/1/2005,7175
7/1/2005,7090
8/1/2005,7219
9/1/2005,7351
10/1/2005,7331
11/1/2005,7094
12/1/2005,7007
1/1/2006,7012
2/1/2006,6989
3/1/2006,7052
4/1/2006,7043
5/1/2006,7164
6/1/2006,7097
7/1/2006,7028
8/1/2006,7147
9/1/2006,7275
10/1/2006,7217
11/1/2006,7175
12/1/2006,7083
1/1/2007,7020
2/1/2007,6996
3/1/2007,7016
4/1/2007,7076
5/1/2007,7201
6/1/2007,7204
7/1/2007,7165
8/1/2007,7147
9/1/2007,7313
10/1/2007,7304
11/1/2007,7155
12/1/2007,7055
1/1/2008,6967
2/1/2008,6942
3/1/2008,6955
